run_number,mach_number,reynolds_number,alpha,cl,cd_wake,cm
3619,0.20,1.39,0.0,0.028,0.0082,0.002
3620,0.20,1.54,0.0,0.038,0.0082,0.001
3621,0.20,1.60,-2.0,-0.162,0.0080,0.002
3622,0.20,1.50,2.0,0.191,0.0086,0.007
3623,0.20,1.26,4.0,0.346,0.0088,0.019
3624,0.20,1.37,4.0,0.363,0.0089,0.013
3625,0.20,1.36,4.0,0.350,0.0090,0.018
3626,0.20,1.49,6.0,0.528,0.0095,0.024
3627,0.20,1.42,8.0,0.717,0.0104,0.029
3628,0.20,1.55,10.0,0.861,0.0107,0.036
3629,0.20,1.46,12.0,1.025,0.0148,0.041
3630,0.20,1.50,14.0,1.116,0.0262,0.043
3631,0.20,1.47,16.0,1.071,0.0768,0.026
3632,0.21,1.47,18.0,0.925,0.1013,0.008
3633,0.21,1.52,20.0,0.984,0.1413,-0.004
3634,0.21,1.57,24.0,0.736,0.2061,-0.057
3635,0.21,1.66,28.0,0.979,0.1994,-0.103
3636,0.22,1.65,32.0,0.914,0.3405,-0.099
3638,0.22,1.56,36.0,0.918,0.3791,-0.119
3639,0.22,1.70,40.0,0.976,0.4514,-0.169
3640,0.22,1.59,45.0,0.994,0.4632,-0.225
3641,0.22,1.59,40.0,0.936,0.4559,-0.150
3642,0.21,1.54,28.0,0.813,0.2709,-0.089
