alpha,cl,cd,cm
0,0,0.0139000000000000,0
1,0.0842000000000000,0.0140000000000000,0
2,0.187900000000000,0.0143000000000000,0
3,0.286100000000000,0.0148000000000000,0
4,0.380000000000000,0.0155000000000000,0
5,0.468700000000000,0.0163000000000000,0
6,0.548600000000000,0.0174000000000000,0
7,0.620900000000000,0.0187000000000000,0
8,0.674500000000000,0.0204000000000000,0
9,0.714800000000000,0.0222000000000000,0
10,0.737400000000000,0.0243000000000000,0
11,0.744300000000000,0.0266000000000000,0
12,0.736300000000000,0.0292000000000000,0
13,0.725500000000000,0.0860000000000000,0
14,0.699300000000000,0.158000000000000,0
16,0.648700000000000,0.196000000000000,0
18,0.609800000000000,0.238000000000000,0
20,0.592000000000000,0.282000000000000,0
22,0.602300000000000,0.329000000000000,0
25,0.666400000000000,0.405000000000000,0
