tsr,cp,cd,u_infty,dsflag,tp,nti,nbelem,nrevs,walls,cpu_hrs_per_sec
3.1,0.23183965,0.722460275,1.0,2.0,0.7,24.0,16.0,8.0,1.0,0.027904673185079474
3.1,0.23952625,0.728132025,1.0,2.0,1.7,24.0,16.0,8.0,1.0,0.02813797705902271
3.1,0.248282,0.7331577250000001,1.0,2.0,2.7,24.0,16.0,8.0,1.0,0.02769431723316344
3.1,0.260669125,0.7379680750000001,1.0,2.0,3.7,24.0,16.0,8.0,1.0,0.027410017976937533
3.1,0.2689322,0.7428322749999999,1.0,2.0,4.7,24.0,16.0,8.0,1.0,0.03146415086841016
3.1,0.274607625,0.746856375,1.0,2.0,5.7,24.0,16.0,8.0,1.0,0.027479499185297674
3.1,0.28132675,0.7497408249999999,1.0,2.0,6.7,24.0,16.0,8.0,1.0,0.027450814282763667
3.1,0.288320625,0.7557021500000001,1.0,2.0,7.7,24.0,16.0,8.0,1.0,0.02752539502935208
3.1,0.296217975,0.7609529,1.0,2.0,8.7,24.0,16.0,8.0,1.0,0.028000289526859488
3.1,0.30362659999999997,0.7667073750000001,1.0,2.0,9.7,24.0,16.0,8.0,1.0,0.0285076935805721
3.1,0.30873684999999995,0.77027105,1.0,2.0,10.7,24.0,16.0,8.0,1.0,0.028535103598549036
3.1,0.31397235,0.77363165,1.0,2.0,11.7,24.0,16.0,8.0,1.0,0.028462435178796226
3.1,0.31783245,0.7760847500000001,1.0,2.0,12.7,24.0,16.0,8.0,1.0,0.02859247340361705
3.1,0.321628475,0.778398775,1.0,2.0,13.7,24.0,16.0,8.0,1.0,0.02864155645906412
3.1,0.32540430000000004,0.7809404249999999,1.0,2.0,14.7,24.0,16.0,8.0,1.0,0.02855741407829771
